Date,Adult,Child/Youth,Concession,Employee,Free Travel,School Student,Senior/Pensioner,On Demand,CTP,Day Pass Child/Youth w/o SAF,Day Pass without SAF,Monthly passengers
16-Jul,"390,433","62,800","136,064",0,"1,149","138,642","206,110",0,0,0,0,"935,198"
16-Aug,"386,386","67,010","73,590",0,"1,281","296,261","224,668",0,0,0,0,"1,049,196"
16-Sep,"370,068","70,022","61,676",0,"1,320","203,827","218,598",0,0,0,0,"925,511"
16-Oct,"381,402","78,951","60,635",0,"1,410","197,558","227,088",0,0,0,0,"947,044"
16-Nov,"405,245","76,328","57,858",0,"1,462","255,994","236,965",0,0,0,0,"1,033,852"
16-Dec,"353,196","77,290","45,808",0,"1,337","105,576","216,294",0,0,0,0,"799,501"
17-Jan,"341,332","80,779","42,676",0,"1,329","14,972","203,201",0,0,0,0,"684,289"
17-Feb,"386,683","80,920","53,466",0,"1,407","241,273","220,030",0,0,0,0,"983,779"
17-Mar,"437,169","82,720","87,410",1,"1,622","288,260","245,205",0,0,0,0,"1,142,387"
17-Apr,"357,110","78,164","62,040",0,"1,436","94,867","204,773",0,0,0,0,"798,390"
17-May,"450,002","77,300","81,990",0,"1,619","274,658","243,810",0,0,0,0,"1,129,379"
17-Jun,"404,992","68,761","62,266",0,"1,374","225,602","220,501",0,0,0,0,"983,496"
17-Jul,"417,371","89,142","63,203",0,"1,433","112,694","222,539",0,0,0,0,"906,382"
17-Aug,"448,961","73,381","86,293",0,"1,538","238,995","233,460",0,0,0,4,"1,082,632"
17-Sep,"419,498","77,498","70,969",0,"1,359","162,480","219,245",0,0,7,16,"951,072"
17-Oct,"438,484","83,085","74,487",0,"1,542","189,313","229,995",0,0,1,6,"1,016,913"
17-Nov,"455,666","79,384","69,407",0,"1,641","239,425","239,296",0,0,0,0,"1,084,819"
17-Dec,"382,007","81,840","52,591",2,"1,520","91,676","209,388",0,0,0,0,"819,024"
18-Jan,"389,381","90,813","49,620",0,"1,514","16,314","204,510",0,0,0,0,"752,152"
