Date,Adult,Child/Youth,Concession,Employee,Free Travel,School Student,Senior/Pensioner,On Demand,CTP,Day Pass Child/Youth w/o SAF,Day Pass without SAF,Monthly passengers
16-Jul,"390,433.00","62,800.00","136,064.00",0.00,"1,149.00","138,642.00","206,110.00",0.00,0.00,0.00,0.00,"935,198.00"
16-Aug,"386,386.00","67,010.00","73,590.00",0.00,"1,281.00","296,261.00","224,668.00",0.00,0.00,0.00,0.00,"1,049,196.00"
16-Sep,"370,068.00","70,022.00","61,676.00",0.00,"1,320.00","203,827.00","218,598.00",0.00,0.00,0.00,0.00,"925,511.00"
16-Oct,"381,402.00","78,951.00","60,635.00",0.00,"1,410.00","197,558.00","227,088.00",0.00,0.00,0.00,0.00,"947,044.00"
16-Nov,"405,245.00","76,328.00","57,858.00",0.00,"1,462.00","255,994.00","236,965.00",0.00,0.00,0.00,0.00,"1,033,852.00"
16-Dec,"353,196.00","77,290.00","45,808.00",0.00,"1,337.00","105,576.00","216,294.00",0.00,0.00,0.00,0.00,"799,501.00"
17-Jan,"341,332.00","80,779.00","42,676.00",0.00,"1,329.00","14,972.00","203,201.00",0.00,0.00,0.00,0.00,"684,289.00"
17-Feb,"386,683.00","80,920.00","53,466.00",0.00,"1,407.00","241,273.00","220,030.00",0.00,0.00,0.00,0.00,"983,779.00"
17-Mar,"437,169.00","82,720.00","87,410.00",1.00,"1,622.00","288,260.00","245,205.00",0.00,0.00,0.00,0.00,"1,142,387.00"
17-Apr,"357,110.00","78,164.00","62,040.00",0.00,"1,436.00","94,867.00","204,773.00",0.00,0.00,0.00,0.00,"798,390.00"
17-May,"450,002.00","77,300.00","81,990.00",0.00,"1,619.00","274,658.00","243,810.00",0.00,0.00,0.00,0.00,"1,129,379.00"
17-Jun,"404,992.00","68,761.00","62,266.00",0.00,"1,374.00","225,602.00","220,501.00",0.00,0.00,0.00,0.00,"983,496.00"
17-Jul,"417,371.00","89,142.00","63,203.00",0.00,"1,433.00","112,694.00","222,539.00",0.00,0.00,0.00,0.00,"906,382.00"
17-Aug,"448,961.00","73,381.00","86,293.00",0.00,"1,538.00","238,995.00","233,460.00",0.00,0.00,0.00,4.00,"1,082,632.00"
17-Sep,"419,498.00","77,498.00","70,969.00",0.00,"1,359.00","162,480.00","219,245.00",0.00,0.00,7.00,16.00,"951,072.00"
17-Oct,"438,484.00","83,085.00","74,487.00",0.00,"1,542.00","189,313.00","229,995.00",0.00,0.00,1.00,6.00,"1,016,913.00"
17-Nov,"455,666.00","79,384.00","69,407.00",0.00,"1,641.00","239,425.00","239,296.00",0.00,0.00,0.00,0.00,"1,084,819.00"
17-Dec,"382,007.00","81,840.00","52,591.00",2.00,"1,520.00","91,676.00","209,388.00",0.00,0.00,0.00,0.00,"819,024.00"
18-Jan,"389,381.00","90,813.00","49,620.00",0.00,"1,514.00","16,314.00","204,510.00",0.00,0.00,0.00,0.00,"752,152.00"
18-Feb,"429,725.00","85,852.00","60,089.00",0.00,"1,723.00","256,916.00","219,649.00",0.00,0.00,0.00,0.00,"1,053,954.00"
18-Mar,"469,557.00","89,194.00","89,220.00",0.00,"1,814.00","306,310.00","241,446.00",0.00,0.00,0.00,0.00,"1,197,541.00"
18-Apr,"427,345.00","87,921.00","71,692.00",0.00,"1,734.00","126,463.00","217,295.00",0.00,0.00,0.00,2.00,"932,452.00"
18-May,"501,314.00","85,444.00","89,724.00",0.00,"1,932.00","336,860.00","251,153.00",0.00,0.00,6.00,11.00,"1,266,444.00"
18-Jun,"442,598.00","75,635.00","66,213.00",0.00,"1,709.00","275,618.00","220,356.00",0.00,0.00,1.00,19.00,"1,082,149.00"
18-Jul,"481,811.00","96,862.00","65,528.00",4.00,"1,934.00","147,138.00","230,432.00",0.00,0.00,3.00,37.00,"1,023,749.00"
18-Aug,"510,926.00","84,041.00","89,250.00","1,208.00","2,064.00","305,345.00","245,504.00",0.00,0.00,7.00,30.00,"1,238,375.00"
18-Sep,"462,927.00","76,967.00","71,129.00","1,863.00","1,752.00","245,625.00","219,183.00",0.00,0.00,4.00,22.00,"1,079,472.00"
18-Oct,"506,676.00","94,270.00","71,192.00","2,254.00","2,047.00","157,638.00","239,069.00",0.00,0.00,0.00,28.00,"1,073,174.00"
18-Nov,"521,433.00","83,569.00","64,437.00","2,325.00","2,040.00","253,123.00","246,005.00",0.00,0.00,1.00,43.00,"1,172,976.00"
18-Dec,"432,004.00","80,732.00","47,328.00","1,901.00","1,909.00","116,188.00","217,410.00",0.00,0.00,1.00,50.00,"897,523.00"
19-Jan,"453,530.00","92,159.00","45,245.00","2,225.00","2,040.00","16,653.00","207,693.00",0.00,0.00,3.00,66.00,"819,614.00"
19-Feb,"490,800.00","88,688.00","57,323.00","2,690.00","2,104.00","291,709.00","225,652.00",0.00,0.00,4.00,71.00,"1,159,041.00"
19-Mar,"540,057.00","89,238.00","87,022.00","2,905.00","2,136.00","335,098.00","242,478.00",0.00,0.00,10.00,128.00,"1,299,072.00"
19-Apr,"478,033.00","86,945.00","70,723.00","2,752.00","1,904.00","164,776.00","223,294.00",0.00,0.00,3.00,111.00,"1,028,541.00"
19-May,"561,499.00","84,310.00","83,497.00","3,237.00","2,362.00","334,961.00","255,783.00",0.00,0.00,12.00,80.00,"1,325,741.00"
19-Jun,"471,266.00","72,749.00","60,924.00","2,539.00","1,904.00","249,581.00","219,739.00",0.00,0.00,3.00,98.00,"1,078,803.00"
19-Jul,"544,622.00","98,011.00","66,497.00","3,022.00","2,137.00","154,928.00","242,204.00","8,110.00",0.00,8.00,104.00,"1,119,643.00"
19-Aug,"543,465.00","80,637.00","81,393.00","3,333.00","2,116.00","284,021.00","242,411.00","8,685.00","6,106.00",9.00,127.00,"1,252,303.00"
19-Sep,"516,174.00","75,766.00","67,641.00","3,196.00","1,944.00","248,288.00","230,507.00","9,052.00","18,654.00",23.00,113.00,"1,171,358.00"
19-Oct,"530,872.00","92,826.00","67,810.00","3,137.00","2,211.00","164,595.00","244,046.00","10,302.00","38,502.00",9.00,94.00,"1,154,404.00"
19-Nov,"524,046.00","81,238.00","62,173.00","3,384.00","2,041.00","234,191.00","244,343.00","10,554.00","54,951.00",19.00,100.00,"1,217,040.00"
19-Dec,"455,946.00","81,917.00","47,937.00","2,919.00","1,773.00","117,333.00","225,496.00","9,152.00","61,371.00",23.00,109.00,"1,003,976.00"
20-Jan,"452,466.00","95,311.00","41,589.00","3,015.00","1,955.00","26,904.00","215,635.00","10,190.00","72,400.00",9.00,120.00,"919,594.00"
20-Feb,"467,925.00","82,827.00","54,455.00","2,941.00","1,957.00","248,840.00","221,171.00","10,801.00","79,982.00",16.00,150.00,"1,171,065.00"
20-Mar,"392,860.00","59,296.00","58,725.00","2,745.00","1,535.00","193,275.00","186,468.00","7,789.00","72,009.00",24.00,150.00,"974,876.00"
20-Apr,"171,160.00","16,162.00","13,028.00","1,218.00",676.00,"3,287.00","91,583.00","1,763.00","37,115.00",4.00,93.00,"336,089.00"
20-May,"216,827.00","28,396.00","17,912.00","1,424.00",898.00,"64,900.00","118,350.00","2,940.00","49,688.00",0.00,97.00,"501,432.00"
20-Jun,"260,477.00","40,075.00","24,328.00","1,593.00","1,164.00","166,127.00","145,567.00","4,980.00","62,234.00",0.00,121.00,"706,666.00"
20-Jul,"288,798.00","55,356.00","29,962.00","1,794.00","1,173.00","89,474.00","158,537.00","6,217.00","71,847.00",53.00,128.00,"703,339.00"
20-Aug,"270,591.00","41,851.00","30,755.00","1,697.00","1,159.00","148,147.00","150,110.00","5,639.00","67,871.00",0.00,98.00,"717,918.00"
20-Sep,"278,146.00","44,307.00","30,751.00","1,747.00","1,110.00","128,544.00","158,729.00","6,581.00","74,706.00",0.00,96.00,"724,717.00"
20-Oct,"275,385.00","50,513.00","29,663.00","1,780.00","1,219.00","93,826.00","162,732.00","6,706.00","81,315.00",0.00,141.00,"703,280.00"
20-Nov,"278,318.00","41,384.00","29,494.00","1,811.00","1,290.00","123,464.00","167,290.00","6,671.00","84,564.00",0.00,119.00,"734,405.00"
20-Dec,"261,170.00","47,658.00","26,377.00","1,755.00","1,291.00","60,504.00","163,863.00","6,924.00","86,850.00",3.00,130.00,"656,525.00"
21-Jan,"230,528.00","46,574.00","20,182.00","1,409.00","1,129.00","5,077.00","137,359.00","6,077.00","77,831.00",0.00,140.00,"526,306.00"
21-Feb,"265,311.00","45,469.00","30,997.00","1,746.00","1,234.00","149,034.00","161,608.00","7,723.00","88,175.00",5.00,207.00,"751,509.00"
21-Mar,"294,367.00","42,069.00","45,028.00","1,902.00","1,459.00","153,294.00","182,357.00","9,412.00","98,040.00",7.00,163.00,"828,098.00"
21-Apr,"271,849.00","52,658.00","36,117.00","1,944.00","1,353.00","69,598.00","176,368.00","8,887.00","101,192.00",1.00,99.00,"720,066.00"
21-May,"289,229.00","42,457.00","42,044.00","1,967.00","1,329.00","132,272.00","183,225.00","10,133.00","106,754.00",0.00,147.00,"809,557.00"
21-Jun,"259,924.00","34,715.00","32,919.00","1,314.00","1,081.00","102,099.00","163,825.00","9,366.00","97,027.00",0.00,95.00,"702,365.00"
21-Jul,"127,354.00","11,205.00","10,461.00",513.00,488.00,"1,276.00","75,935.00",0.00,"48,652.00",0.00,79.00,"275,963.00"
21-Aug,"102,883.00","6,708.00","7,436.00",480.00,389.00,"1,501.00","63,463.00",0.00,"39,328.00",1.00,81.00,"222,270.00"
